Sample Station Label,Year,BHC20_100,day1,day2,day3,day4,tssr1,tssr2,tssr3,tssr4,dur1,dur2,dur3,dur4,visit1,visit2,visit3,visit4
PC11-PR-02_11,2011,DMF,0.375342466,,,,0.0625,,,,0.08,,,,0,,,
PC11-PR-02_12,2011,DMF,0.375342466,,,,0.069444444,,,,0.08,,,,0,,,
PC11-PR-02_13,2011,DMF,0.375342466,,,,0.075694444,,,,0.08,,,,0,,,
PC11-PR-02_14,2011,DMF,0.375342466,,,,0.081944444,,,,0.08,,,,0,,,
PC11-PR-02_15,2011,DMF,0.375342466,,,,0.088194444,,,,0.08,,,,0,,,
PC11-PR-02_16,2011,DMF,0.375342466,,,,0.1,,,,0.08,,,,0,,,
PC11-PR-02_17,2011,DMF,0.375342466,,,,0.110416667,,,,0.08,,,,0,,,
PC11-PR-02_18,2011,DMF,0.375342466,,,,0.120138889,,,,0.08,,,,0,,,
PC11-PR-02_19,2011,DMF,0.375342466,,,,0.129166667,,,,0.08,,,,0,,,
PC11-PR-02_20,2011,DMF,0.375342466,,,,0.1375,,,,0.08,,,,0,,,
PC11-PR-02_24,2011,DMF,,0.402739726,,,,0.003472222,,,,0.08,,,,0,,
